Number,Title,Link to paper,Year,Code?,Data?,Compare to non-DL?,Venue,SE task,Method,Hyperparam tuning,,,,,
130,Cross-Domain Deep Code Search with Few-Shot Meta Learning,https://arxiv.org/pdf/2201.00150.pdf,2022,Yes,Yes,No,ICSE,code comprehension,Sequence,none,,,,,
131,DeepSTL - From English Requirements to Signal Temporal Logic,https://arxiv.org/pdf/2109.10294v3.pdf,2022,No,No,No,ICSE,language processing,Sequence,none,,,,,
132,DeepTraLog: Trace-Log Combined Microservice Anomaly Detection through Graph-based Deep Learning,https://cspengxin.github.io/publications/icse22-DeepTraLog.pdf,2022,No,Yes,Yes,ICSE,other,Sequence,none,,,,,
,,,,,,,,,Graph,,,,,,
133,GRAPHCODEBERT: PRE-TRAINING CODE REPRESENTATIONS WITH DATA FLOW,https://arxiv.org/pdf/2009.08366v2.pdf,2020,No,No,No,ICLR,language model,Graph,none,,,,,
,,,,,,,,,Sequence,,,,,,
134,TreeBERT: A Tree-Based Pre-Trained Model for Programming Language,https://auai.org/uai2021/pdf/uai2021.32.pdf,2021,Yes,Yes,No,UAI,language model,Sequence,none,,,,,
135,Studying the Usage of Text-To-Text Transfer Transformer to Support Code-Related Tasks,https://arxiv.org/pdf/2102.02017.pdf,2021,Yes,Yes,No,ICSE,language processing,Sequence,none,,,,,
136,Fold2Vec: Towards a Statement Based Representation of Code for Code Comprehension,https://dl.acm.org/doi/pdf/10.1145/3514232,2023,Yes,Yes,No,TOSEM,code comprehension,Sequence,random search,,,,,
,,,,,,,,,Attention,,,,,,
,,,,,,,,,Feedforward,,,,,,
137,DEAR: A Novel Deep Learning-based Approach for Automated Program Repair,https://arxiv.org/pdf/2205.01859.pdf,2022,Yes,Yes,No,ICSE,Program Repair,Sequence,beam search,,,,,
,,,,,,,,,Attention,,,,,,
138,FIRA: Fine-Grained Graph-Based Code Change Representation for Automated Commit Message Generation,https://yilinglou.github.io/papers/ICSE22_commit.pdf,2022,Yes,Yes,Yes,ICSE,language processing,Graph,validation set,,,,,
,,,,,,,,,Attention,,,,,,
,,,,,,,,,Sequence,,,,,,
139,XCode: Towards Cross-Language Code Representation with Large-Scale Pre-Training,https://dl-acm-org.prox.lib.ncsu.edu/doi/pdf/10.1145/3506696,2022,Yes,No,No,TOSEM,language processing,Sequence,none,,,,,
140,A unified multi-task learning model for AST-level and token-level code completion,https://link.springer.com/content/pdf/10.1007/s10664-022-10140-7.pdf,2022,No,No,No,EMSE,Code Synthesis,Sequence,validation set,,,,,
141,Learning code summarization from a small and local dataset,https://arxiv.org/pdf/2206.00804.pdf,2022,No,No,No,arXiv,code comprehension,Sequence,none,,,,,
,,,,,,,,,Attention,,,,,,
142,Can pre-trained code embeddings improve model performance? Revisiting the use of code embeddings in software engineering tasks,https://link.springer.com/content/pdf/10.1007/s10664-022-10118-5.pdf,2022,Yes,Yes,No,EMSE,language model,word2vec,none,,,,,
143,Towards Learning Generalizable Code Embeddings using Task-agnostic Graph Convolutional Networks,https://dl.acm.org/doi/pdf/10.1145/3542944,2023,Yes,Yes,No,TOSEM,language model,Graph,random search,,,,,
144,Code comment generation based on graph neural network enhanced transformer model for code understanding in open‑source software ecosystems,https://link.springer.com/content/pdf/10.1007/s10515-022-00341-1.pdf,2022,Yes,Yes,No,ASE,code comprehension,Graph,none,,,,,
,,,,,,,,,Sequence,,,,,,
145,Automatic source code summarization with graph attention networks,https://www.sciencedirect.com/science/article/pii/S0164121222000279,2022,,,,JSS,,,,,,,,
146,Using Transfer Learning for Code-Related Tasks,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9797060,2023,Yes,Yes,No,ICSE,Program Repair/Bug Fix,Transformer,dev set,,,,,
,,,,,,,,Testing,,,,,,,
,,,,,,,,code comprehension,,,,,,,
147,Towards learning generalizable code embeddings using task-agnostic graph convolutional networks,https://dl.acm.org/doi/pdf/10.1145/3542944,2023,Yes,Yes,Yes,TOSEM,code comprehension,Graph,none,,,,,
,,,,,,,,other,,,,,,,
,,,,,,,,code similarity,,,,,,,
,,,,,,,,Software Categorization,,,,,,,
,,,,,,,,defect prediction,,,,,,,
148,LineVD: Statement-level vulnerability detection using graph neural networks,https://arxiv.org/pdf/2203.05181.pdf,2022,Yes,Yes,Yes,MSR,Vulnerability Detection,Graph,grid,,,,,
,,,,,,,,,Transformer,,,,,,
,,,,,,,,,Attention,,,,,,
149,On the Use of Deep Learning in Software Defect Prediction,https://arxiv.org/ftp/arxiv/papers/2210/2210.02236.pdf,2022,,,,JSS,,,,,,,,
150,ClassSum: a deep learning model for class-level code summarization,https://link.springer.com/article/10.1007/s00521-022-07877-z,2022,No,Yes,Yes,NCA,code comprehension,Sequence,none,,,,,
,,,,,,,,,Attention,,,,,,
,,,,,,,,,Embedding,,,,,,
151,Unixcoder: Unified cross-modal pre-training for code representation,https://arxiv.org/pdf/2203.03850.pdf,2022,Yes,Yes,No,ACL,language model,Transformer,none,,,,,
,,,,,,,,,Attention,,,,,,
152,Automating Code Review Activities by Large-Scale Pre-training,https://arxiv.org/abs/2203.09095,2022,Yes,Yes,No,FSE,language model,Transformer,grid,,,,,
153,Context-Aware Neural Fault Localization,https://ieeexplore.ieee.org/abstract/document/10132088,2023,Yes,Yes,Yes,TSE,bug localization,Graph,grid,,,,,
154,Function Call Graph Context Encoding for Neural Source Code Summarization,https://ieeexplore.ieee.org/abstract/document/10132550,2023,Yes,Yes,No,TSE,code comprehension,Sequence,none,,,,,
,,,,,,,,,Attention,,,,,,
,,,,,,,,,Graph,,,,,,
,,,,,,,,,Embedding,,,,,,
,,,,,,,,,Feedforward,,,,,,
155,DeKeDVer: A deep learning-based multi-type software vulnerability classification framework using vulnerability description and source code,https://www.sciencedirect.com/science/article/pii/S0950584923001441,2023,No,No,Yes,IST,Vulnerability Detection,Embedding,none,,,,,
,,,,,,,,,Sequence,,,,,,
,,,,,,,,,Convolutional,,,,,,
,,,,,,,,,Graph,,,,,,
,,,,,,,,,Attention,,,,,,
,,,,,,,,,word2vec,,,,,,
156,"DexBERT: Effective, Task-Agnostic and Fine-grained Representation Learning of Android Bytecode",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10237047,2023,Yes,Yes,No,TSE,language model,Transformer,none,,,,,
157,CombTransformers: Statement-Wise Transformers for Statement-Wise Representations,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10242162,2023,Yes,Yes,No,TSE,language model,Transformer,tpe,,,,,
158,Improving Cross-Language Code Clone Detection via Code Representation Learning and Graph Neural Networks,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10242168,2023,Yes,Yes,Yes,TSE,code similarity,Graph,none,,,,,
159,An expert system for redesigning software for cloud applications,https://www.sciencedirect.com/science/article/pii/S0957417423001744,2023,No,No,Yes,ESWA,other,Graph,tpe,,,,,
160,How to Find Actionable Static Analysis Warnings: A Case Study With FindBugs,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10012496,2023,Yes,Yes,Yes,TSE,other,Feedforward,DODGE,,,,,
161,How to improve deep learning for software analytics: (a case study with code smell detection),https://dl.acm.org/doi/pdf/10.1145/3524842.3528458,2022,Yes,Yes,No,MSR,code smell,Feedforward,DODGE,,,,,
162,Comparing the Pretrained Models of Source Code by Re-pretraining Under a Unified Setup,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10246327,2023,Yes,Yes,No,TNNLS,language model,Transformer,grid,,,,,
163,EnCoSum: enhanced semantic features for multi-scale multi-modal source code summarization,https://link.springer.com/article/10.1007/s10664-023-10384-x,2023,Yes,Yes,No,EMSE,code comprehension,Attention,none,,,,,
,,,,,,,,,Feedforward,,,,,,
,,,,,,,,,Transformer,,,,,,
,,,,,,,,,Graph,,,,,,
164,NatGen: Generative pre-training by “Naturalizing” source code,https://arxiv.org/pdf/2206.07585.pdf,2022,Yes,Yes,No,FSE,language model,Transformer,none,,,,,
